id_cliente;nombre;sexo;fecha_nacimiento;edad;distrito;fecha_alta;segmento_programa;ingresos_mensuales_aprox
CLI00001;Eladio Cadenas Moran;F;1973-07-07;52;Los Olivos;2024-07-01 00:00:00;Basico;2238.37
CLI00002;Yolanda Dominguez-Amores;M;1963-07-05;62;;2024-01-05 00:00:00;Platino;3146.17
CLI00003;Griselda Benavides Calderon;F;2001-04-28;25;Comas;2025-04-02 00:00:00;Platino;9418.53
CLI00004;Feliciano Sanchez Sancho;M;1977-10-21;48;San Juan de Lurigancho;2024-10-22 00:00:00;Basico;2650.42
CLI00005;Claudia Folch Molins;M;1969-07-30;56;San Juan de Lurigancho;2025-03-17 00:00:00;Premium;7047.42
CLI00006;Eulalia Roma Bru;F;2007-12-01;18;Santiago de Surco;2024-10-26 00:00:00;Basico;1394.09
CLI00007;Rosenda Tellez;F;1982-09-23;43;Ate;2024-08-28 00:00:00;Basico;1734.97
CLI00008;Anita Fabregas Herrera;F;1967-05-08;59;San Borja;20/06/2024;Platino;3107.35
CLI00009;Cosme Busquets Blanes;F;1997-10-09;28;San Borja;2025-04-17 00:00:00;Premium;11233.43
CLI00010;Edmundo Luque;M;1979-10-08;46;San Juan de Lurigancho;2025-02-15 00:00:00;Premium;4957.47
CLI00011;Onofre Eduardo Cardenas Carranza;M;1989-01-07;37;San Juan de Lurigancho;2024-04-17 00:00:00;Regular;3527.11
CLI00012;Eliseo Guillen Gimenez;M;1954-11-25;71;Los Olivos;2024-06-26 00:00:00;Basico;2730.19
CLI00013;Candida Barba-Alberto;M;1958-03-07;68;Los Olivos;2025-01-20 00:00:00;Regular;7969.64
CLI00014;Emperatriz Elisa Cerro Narvaez;F;1969-01-25;57;Miraflores;2024-03-11 00:00:00;Regular;5956.65
CLI00015;Palmira Jacinta Coronado Llanos;F;1970-11-02;55;Comas;2024-07-29 00:00:00;Premium;3248.52
CLI00016;Serafina del Crespi;M;1985-01-25;41;Santiago de Surco;2024-12-23 00:00:00;Regular;6367.63
CLI00017;Hermenegildo Carrillo Casares;F;2000-02-16;26;Miraflores;2024-04-08 00:00:00;Premium;6552.87
CLI00018;Ines Ochoa-Goicoechea;F;1986-03-20;40;San Juan de Lurigancho;2024-07-15 00:00:00;Premium;3615.16
CLI00019;Wilfredo Azorin Vives;F;1992-06-02;34;Los Olivos;2024-08-01 00:00:00;Platino;7323.69
CLI00020;Isaias Duenas;F;1954-01-04;72;San Miguel;2024-12-06 00:00:00;Premium;4611.23
CLI00021;Simon Berrocal Cardona;M;2008-02-08;18;San Juan de Lurigancho;2024-09-11 00:00:00;Basico;1261.81
CLI00022;Abel Sandalio Miro Quesada;F;1998-03-04;28;San Juan de Lurigancho;2024-09-02 00:00:00;Basico;2280.99
CLI00023;Luisa Ballester Cordoba;F;1993-01-11;33;Comas;2025-02-27 00:00:00;Basico;1972.38
CLI00024;Javier Mugica Alberola;M;1981-09-12;44;Magdalena;2024-10-27 00:00:00;Platino;6537.14
CLI00025;Luciano Camps Bueno;F;1987-06-24;39;Ate;2025-02-11 00:00:00;Platino;3036.92
CLI00026;Domitila Boada Mascaro;M;1954-02-01;72;Magdalena;2024-09-14 00:00:00;Premium;10899.12
CLI00027;Rufino Amores Ferreras;M;1986-02-16;40;;2024-10-27 00:00:00;Basico;1865.08
CLI00028;Jose Maria de Crespi;F;1987-12-01;38;San Miguel;2024-05-10 00:00:00;Platino;7838.03
CLI00029;Oscar Aguila Cepeda;M;1981-08-22;44;Ate;2024-02-05 00:00:00;Basico;1826.7
CLI00030;Ulises Bernardino Rius Llopis;M;1972-01-11;54;San Juan de Lurigancho;2025-03-09 00:00:00;Regular;11318.0
CLI00031;Guillermo Cabeza Gibert;M;2008-02-10;18;San Borja;2025-01-13 00:00:00;Premium;4302.93
CLI00032;Conrado de Cabanillas;M;1968-06-10;58;Miraflores;2024-05-02 00:00:00;Regular;9582.29
CLI00033;Bernardino Leopoldo Porta Chaparro;M;1999-12-28;26;;2024-04-29 00:00:00;Regular;10251.73
CLI00034;Jacobo Torrent Acero;M;1972-05-04;54;San Juan de Lurigancho;2024-04-27 00:00:00;Basico;2328.24
CLI00035;Ciriaco Merino Quiros;M;1968-06-02;58;San Miguel;2024-10-30 00:00:00;Regular;8792.13
CLI00036;Walter Martin Gabaldon;F;1975-03-06;51;Comas;2024-06-18 00:00:00;Basico;1199.31
CLI00037;Maria Angeles Marti Cobo;F;1991-01-12;35;San Juan de Lurigancho;2024-11-04 00:00:00;Basico;1300.2
CLI00038;Abilio Llorente Barrio;M;1967-05-10;59;Santiago de Surco;2024-05-12 00:00:00;Premium;10376.99
CLI00039;Florentina Lumbreras Priego;M;1992-10-08;33;San Borja;2024-10-22 00:00:00;Basico;2799.38
CLI00040;Rufina Cabezas Batlle;M;1965-02-26;61;San Juan de Lurigancho;2025-04-18 00:00:00;Platino;7609.39
CLI00041;Jose Galvan-Agustin;F;1964-03-24;62;San Juan de Lurigancho;2025-04-02 00:00:00;Basico;2155.59
CLI00042;Anastasia Nino;F;2006-12-13;19;Comas;2024-06-17 00:00:00;Premium;10358.66
CLI00043;Chuy Lobato Mariscal;M;1953-05-15;73;San Juan de Lurigancho;2024-10-17 00:00:00;Basico;1172.04
CLI00044;Soraya Armida Abril Armengol;F;1979-12-01;46;Miraflores;2025-01-21 00:00:00;Basico;2251.5
CLI00045;Reinaldo Gabaldon;M;1983-12-04;42;San Borja;2024-08-19 00:00:00;Basico;1026.62
CLI00046;Graciela Noemi Bermudez Palomares;F;1972-06-01;54;Comas;2024-12-20 00:00:00;Premium;6203.47
CLI00047;Ismael Amador Cervera Pena;F;1974-02-04;52;San Miguel;2024-11-07 00:00:00;Regular;6815.64
CLI00048;Gisela del Izquierdo;F;1983-03-28;43;Los Olivos;2025-02-14 00:00:00;Premium;3561.26
CLI00049;Salomon Segarra Bravo;F;1999-06-15;27;Miraflores;2024-11-26 00:00:00;Basico;1293.73
CLI00050;Trini Tellez-Montana;M;1996-03-10;30;;2024-04-27 00:00:00;Premium;9427.14
CLI00051;Roldan de Marco;M;1963-11-09;62;Comas;2025-01-17 00:00:00;Platino;8405.39
CLI00052;Victoria Navarro Pinto;M;1997-07-14;28;San Borja;2024/Dic/5;Platino;6287.79
CLI00053;Mateo Badia;M;1984-01-12;42;Comas;2024-09-05 00:00:00;Regular;3824.75
CLI00054;Bernarda Bou Pedrero;M;1981-02-07;45;Santiago de Surco;2024-04-15 00:00:00;Premium;3312.83
CLI00055;Ricardo Carranza Tapia;F;1961-07-15;64;Magdalena;2024-11-06 00:00:00;Premium;7254.72
CLI00056;Kike de Marti;F;1971-01-21;55;San Juan de Lurigancho;2024-10-26 00:00:00;Regular;10692.28
CLI00057;Buenaventura Parra Olmo;M;1981-09-22;44;San Borja;2025-02-24 00:00:00;Regular;10057.74
CLI00058;Brunilda Alfonso;M;1977-05-15;49;Los Olivos;2024-08-23 00:00:00;Premium;6458.99
CLI00059;Inocencio del Huertas;M;1967-08-02;58;Comas;2024-05-17 00:00:00;Regular;5640.49
CLI00060;Gala Manso Velasco;M;1982-07-17;43;Miraflores;29/10/2024;Regular;4463.26
CLI00061;Mirta Otilia Martin Blanco;M;1979-11-12;46;San Juan de Lurigancho;2025-01-25 00:00:00;Platino;6578.0
CLI00062;Edelmira Ortuno Casas;M;1994-04-04;32;Santiago de Surco;2024-06-16 00:00:00;Regular;10368.47
CLI00063;Monica Gutierrez Tormo;M;1956-04-03;70;Magdalena;2025-02-26 00:00:00;Basico;2766.69
CLI00064;Galo Mosquera Cid;M;1965-06-23;61;San Miguel;2024-11-18 00:00:00;Platino;5833.68
CLI00065;Africa de Ledesma;F;1969-01-01;57;Santiago de Surco;2024-08-01 00:00:00;Premium;10474.05
CLI00066;Juan Luis Falco Pellicer;M;1986-07-21;39;San Borja;2024-01-19 00:00:00;Basico;2430.26
CLI00067;Clotilde Vera Melero;M;1964-02-08;62;Santiago de Surco;2025-01-02 00:00:00;Platino;2934.41
CLI00068;Mayte Escobar Cerezo;F;1979-09-26;46;Miraflores;2025-01-15 00:00:00;Platino;4833.46
CLI00069;Emigdio Amaya Benitez;F;1970-01-24;56;Los Olivos;2024-06-20 00:00:00;Premium;5686.13
CLI00070;Fortunato Llobet Higueras;F;1973-11-04;52;San Miguel;2024-03-26 00:00:00;Basico;1633.43
CLI00071;Anselma Coll Laguna;M;1972-02-19;54;Ate;2024-01-15 00:00:00;Platino;7698.73
CLI00072;Atilio Cazorla-Mayo;F;1993-07-23;32;San Borja;2025-01-15 00:00:00;Platino;7403.72
CLI00073;Jose Miguel Ariza Varela;F;1988-06-20;38;;2024-09-26 00:00:00;Basico;1233.43
CLI00074;Jordan Sureda Posada;M;1966-02-16;60;Ate;2025-02-08 00:00:00;Platino;5412.72
CLI00075;Pepita Bustos;M;1992-10-09;33;San Borja;2024-09-27 00:00:00;Regular;7965.41
CLI00076;Segismundo Mercader Valles;F;1988-09-12;37;;2024-04-13 00:00:00;Regular;5591.42
CLI00077;Hortensia de Sarmiento;F;1962-01-31;64;Miraflores;2025-04-11 00:00:00;Premium;10881.96
CLI00078;Noa Villegas Tomas;M;1982-01-02;44;San Borja;2025-04-12 00:00:00;Basico;1726.19
CLI00079;Chuy Falco Fortuny;M;1969-02-18;57;Santiago de Surco;2025-02-19 00:00:00;Regular;3949.49
CLI00080;Benigno Claudio Salmeron Quero;F;1982-02-28;44;San Juan de Lurigancho;2024-09-04 00:00:00;Premium;3281.09
CLI00081;Anabel Medina Carbo;M;1989-04-23;37;San Borja;2024-10-03 00:00:00;Platino;5560.67
CLI00082;Poncio Fabregas;F;1980-04-27;46;Comas;2024-03-24 00:00:00;Platino;3079.28
CLI00083;Tono Cristobal Velazquez Malo;F;1965-02-13;61;Los Olivos;2025-03-03 00:00:00;Regular;6869.34
CLI00084;Tania Saenz Bustamante;M;2003-09-21;22;Ate;2024-08-22 00:00:00;Regular;4908.61
CLI00085;Lorenza Hierro Espejo;F;1955-01-31;71;Comas;2024-06-28 00:00:00;Platino;10012.0
CLI00086;Marianela del Manzano;F;2007-03-25;19;Magdalena;2025-03-21 00:00:00;Regular;9605.37
CLI00087;Adelardo Naranjo Pina;M;1992-02-19;34;;2024-09-09 00:00:00;Regular;3338.77
CLI00088;Erasmo Vigil Castells;F;1983-03-14;43;San Miguel;2024-12-31 00:00:00;Premium;3445.01
CLI00089;Ana Sofia Escalona;F;1998-10-07;27;Ate;2024-02-15 00:00:00;Basico;1881.8
CLI00090;Sandra Ligia Velez Arco;F;2000-05-16;26;Ate;2024-09-21 00:00:00;Basico;1327.24
CLI00091;Toni Losada Rios;F;1960-03-25;66;Magdalena;2024-05-13 00:00:00;Platino;11467.22
CLI00092;Yesica Borras-Fernandez;F;1982-08-12;43;Magdalena;2025-02-21 00:00:00;Regular;3685.38
CLI00093;Socorro Virginia Salamanca Sales;F;1959-01-24;67;San Borja;2024-08-07 00:00:00;Basico;1896.43
CLI00094;Otilia Aroca Echevarria;F;1960-05-09;66;San Juan de Lurigancho;2024-12-05 00:00:00;Premium;5230.38
CLI00095;Seve Bustos Valderrama;M;2003-01-27;23;San Juan de Lurigancho;2024-07-19 00:00:00;Regular;7963.81
CLI00096;Marcela Pilar Marti Cuadrado;M;1999-08-26;26;San Juan de Lurigancho;2024-12-27 00:00:00;Premium;5220.51
CLI00097;Emigdio de Carpio;F;1972-03-21;54;Los Olivos;2024-04-17 00:00:00;Premium;7844.01
CLI00098;Leonardo Salinas Rosales;F;1993-04-09;33;San Miguel;2024-01-16 00:00:00;Basico;2220.77
CLI00099;Rita Gamez Diego;M;1989-12-05;36;Magdalena;2024-05-11 00:00:00;Premium;8450.01
CLI00100;Amor Sanmiguel;F;1962-03-21;64;Ate;2024-04-17 00:00:00;Platino;4901.53
CLI00101;Jose Luis Amat Macias;M;1975-07-21;50;Los Olivos;2024-10-31 00:00:00;Premium;6896.04
CLI00102;Vidal Jara Palma;M;2006-05-23;20;Miraflores;2024-09-27 00:00:00;Regular;5140.34
CLI00103;Fabio Quesada-Barroso;F;1999-07-26;26;Magdalena;2024-05-04 00:00:00;Basico;2197.78
CLI00104;Adoracion Barrio Enriquez;F;1961-03-07;65;Los Olivos;2024-10-13 00:00:00;Regular;7502.87
